,date,range_high,range_high_time,range_low_time,range_low,range_open,range_close,range_true,orb_high,orb_low,orb_open,orb_close,orb_true,range_conf_direction,range_conf_time,orb_conf_direction,orb_conf_time,box_color,orb_range_direction,max_ret,max_ret_pct,max_ret_time,max_ext,max_ext_pct,max_ext_time,orb_open_touch_time
4331,2024-10-17,20576.0,09:30:00,10:10:00,20366.5,20573.25,20443.75,True,20576.0,20402.75,20573.25,20447.5,True,Short,15:35:00,Short,10:00:00,Red,Long,20464.25,0.354978354978355,10:20:00,20366.5,0.20923520923520925,10:10:00,
4332,2024-10-18,20523.25,10:10:00,09:35:00,20433.0,20465.75,20499.5,True,20502.0,20433.0,20465.75,20496.75,True,,,Long,10:05:00,Green,Short,20468.25,0.4891304347826087,10:15:00,20523.25,0.3079710144927536,10:10:00,
4333,2024-10-21,20554.5,10:15:00,09:30:00,20422.75,20427.75,20507.25,True,20488.25,20422.75,20427.75,20476.25,True,Short,11:00:00,Long,09:45:00,Green,Short,20472.25,0.24427480916030533,09:50:00,20554.5,1.0114503816793894,10:15:00,
4334,2024-10-22,20520.0,10:05:00,09:30:00,20369.5,20402.75,20487.75,True,20458.25,20369.5,20402.75,20444.25,True,Long,13:35:00,Long,09:50:00,Green,Short,20434.5,0.2676056338028169,09:55:00,20520.0,0.6957746478873239,10:05:00,
4335,2024-10-23,20462.75,09:30:00,10:05:00,20346.0,20435.0,20418.0,True,20462.75,20407.75,20435.0,20427.5,True,Short,11:10:00,Short,10:00:00,Red,Long,20419.5,0.21363636363636362,10:25:00,20346.0,1.1227272727272728,10:05:00,
4336,2024-10-24,20378.5,10:00:00,09:45:00,20296.25,20372.5,20315.5,False,20376.25,20311.75,20372.5,20344.25,True,Short,11:45:00,Short,09:45:00,Red,Long,20378.5,1.0348837209302326,10:00:00,20301.75,0.15503875968992248,09:50:00,10:00:00
4337,2024-10-25,20707.25,10:20:00,09:30:00,20490.25,20491.25,20693.75,True,20588.75,20490.25,20491.25,20587.0,True,Short,13:40:00,Long,09:45:00,Green,Short,20612.75,-0.2436548223350254,09:50:00,20707.25,1.2030456852791878,10:20:00,
4338,2024-10-28,20626.75,09:30:00,09:50:00,20528.5,20625.25,20599.25,True,20626.75,20556.5,20625.25,20569.5,True,Short,12:35:00,Short,09:50:00,Red,Long,20607.25,0.7224199288256228,10:25:00,20532.5,0.3416370106761566,09:55:00,
4339,2024-10-29,20603.0,10:25:00,09:35:00,20432.25,20511.0,20543.25,True,20526.5,20432.25,20511.0,20488.25,True,Long,11:35:00,Long,10:00:00,Green,Long,20511.75,0.15649867374005305,10:10:00,20603.0,0.8116710875331565,10:25:00,
4340,2024-10-30,20699.5,10:25:00,09:40:00,20542.75,20661.25,20689.5,True,20669.25,20542.75,20661.25,20556.0,True,Short,15:50:00,Long,10:15:00,Green,Long,20667.5,0.01383399209486166,10:20:00,20699.5,0.2391304347826087,10:25:00,
4341,2024-10-31,20369.25,09:30:00,10:10:00,20119.0,20366.0,20140.0,True,20369.25,20252.75,20366.0,20259.5,True,Short,10:45:00,Short,09:45:00,Red,Long,20201.25,-0.44206008583690987,10:15:00,20119.0,1.148068669527897,10:10:00,
